WARNING 2026-02-10 10:32:59,249 elasticsearch_service ElasticSearch ping failed at http://localhost:9200
WARNING 2026-02-10 10:35:29,392 elasticsearch_service ElasticSearch ping failed at http://localhost:9200
WARNING 2026-02-10 10:36:20,354 elasticsearch_service ElasticSearch ping failed at http://localhost:9200
INFO 2026-02-10 10:38:07,247 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 10:38:07,638 elasticsearch_service Created ElasticSearch index 'news_articles'
INFO 2026-02-10 10:42:02,810 telegram_bot Starting Telegram bot polling...
INFO 2026-02-10 10:42:58,591 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:42:58,594 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:42:58,665 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:44:09,319 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:44:09,321 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:44:09,344 tasks Found 1 new articles for keyword 'iclas' (user: knn0501)
INFO 2026-02-10 10:44:10,544 tasks Keyword matching completed. Total new notifications sent: 1
INFO 2026-02-10 10:46:00,462 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:00,464 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:00,474 tasks Found 1 new articles for keyword 'baki' (user: Baminaaa)
INFO 2026-02-10 10:46:02,421 tasks Found 8 new articles for keyword 'iclas' (user: knn0501)
INFO 2026-02-10 10:46:08,170 tasks Keyword matching completed. Total new notifications sent: 11
INFO 2026-02-10 10:46:11,552 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:11,555 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:11,627 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:14,283 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:14,286 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:14,345 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:16,548 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:16,550 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:16,579 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:17,592 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:17,593 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:17,623 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:19,361 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:19,363 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:19,391 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:20,655 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:20,656 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:20,683 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:21,353 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:21,354 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:21,381 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:22,317 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:22,318 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:22,345 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:23,357 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:23,358 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:23,396 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:24,219 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:24,221 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:24,248 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:26,209 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:26,210 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:26,244 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:31,107 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:31,108 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:31,136 tasks Found 1 new articles for keyword 'iclas' (user: knn0501)
INFO 2026-02-10 10:46:32,009 tasks Keyword matching completed. Total new notifications sent: 1
INFO 2026-02-10 10:46:32,679 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:32,681 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:32,707 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:34,835 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:34,836 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:34,864 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:46:35,662 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:46:35,663 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:46:35,692 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:47:00,878 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:47:00,879 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:47:00,908 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:47:01,926 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:47:01,928 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:47:01,955 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:47:02,627 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:47:02,628 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:47:02,656 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:48:00,847 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:48:00,849 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:48:00,885 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:48:01,728 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:48:01,730 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:48:01,763 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:48:02,896 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:48:02,898 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:48:02,930 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:01,831 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:49:01,833 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:49:01,862 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:02,527 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:49:02,529 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:49:02,555 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:03,534 tasks Starting keyword matching for all keywords...
INFO 2026-02-10 10:49:03,535 tasks Checking 3 keywords against articles...
INFO 2026-02-10 10:49:03,564 tasks Keyword matching completed. Total new notifications sent: 0
INFO 2026-02-10 10:49:46,453 telegram_bot Bot stopped by user
INFO 2026-02-10 11:07:34,991 telegram_bot Starting Telegram bot polling...
INFO 2026-02-10 11:10:06,178 tasks Dispatching scrape tasks for 1 active sources
INFO 2026-02-10 11:10:08,258 tasks Scraping source: Lent.az (https://lent.az/)
INFO 2026-02-10 11:10:08,372 jina_scraper Scraping homepage for article links: https://lent.az/
INFO 2026-02-10 11:10:08,372 jina_scraper Scraping URL via Jina AI: https://lent.az/
INFO 2026-02-10 11:10:16,141 jina_scraper Found 17 article URLs on https://lent.az/
INFO 2026-02-10 11:10:16,141 jina_scraper Scraping article 1/17: https://lent.az/storage/news/2026/february/10/big/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:16,142 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/10/big/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:19,398 jina_scraper Scraping article 2/17: https://lent.az/storage/news/2026/february/10/small/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:19,399 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/10/small/698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698ac4120f2d8.webp
INFO 2026-02-10 11:10:22,134 jina_scraper Scraping article 3/17: https://lent.az/storage/news/2026/february/08/small/6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988cf3ec8a1b.webp
INFO 2026-02-10 11:10:22,135 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/08/small/6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988cf3ec8a1b.webp
INFO 2026-02-10 11:10:24,783 jina_scraper Scraping article 4/17: https://lent.az/storage/news/2026/february/08/small/6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988d49fdae6e.webp
INFO 2026-02-10 11:10:24,784 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/08/small/6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988d49fdae6e.webp
INFO 2026-02-10 11:10:27,764 jina_scraper Scraping article 5/17: https://lent.az/storage/news/2026/february/07/small/6987417d756726987417d7567317704718056987417d7566f6987417d75670.webp
INFO 2026-02-10 11:10:27,765 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/07/small/6987417d756726987417d7567317704718056987417d7566f6987417d75670.webp
INFO 2026-02-10 11:10:30,558 jina_scraper Scraping article 6/17: https://lent.az/storage/news/2026/february/08/small/6988cfea394dd6988cfea394de17705738026988cfea394cc6988cfea394dc.webp
INFO 2026-02-10 11:10:30,559 jina_scraper Scraping URL via Jina AI: https://lent.az/storage/news/2026/february/08/small/6988cfea394dd6988cfea394de17705738026988cfea394cc6988cfea394dc.webp
INFO 2026-02-10 11:10:32,718 jina_scraper Scraping article 7/17: https://lent.az/xeber-lenti
